Названия строк;1;2;3;4;5;6;7;8;9;10;11;12
806A3284-2699-49E9-9DD2-C555B7DDF3E7;6 809;8 427;8 936;8 323;6 161;6 637;5 906;6 794;6 116;7 189;8 382;11 733
80D0E00C-60CF-4FC5-8B11-A269BDBAE1A6;1 369;2 729;4 316;4 570;3 374;4 123;6 311;5 494;6 641;11 078;11 611;16 521
1D1E038F-66B4-11E5-B1B7-00505602071E;1 794;1 887;1 712;1 572;1 610;1 574;1 830;1 914;6 078;11 943;17 377;19 986
E2E4F35F-B957-4659-B8DD-EE7BC06C0E7C;5 024;5 736;6 983;6 995;4 781;5 161;4 709;5 076;5 466;5 111;5 111;5 179
11C148BB-77E7-11E5-B1B7-00505602071E;2 045;2 713;3 942;4 802;4 000;4 618;5 125;5 772;5 979;7 949;8 161;8 763
0F7349C0-05FA-4AAB-A4A6-97BD28BD2569;3 251;3 876;3 258;4 506;2 811;2 924;3 966;6 859;5 497;6 919;8 829;10 233
8626899A-26A4-4A7E-BA82-05F172556D4D;3 294;3 485;3 993;5 517;5 273;5 770;6 011;5 853;5 637;5 248;5 635;4 810
A5176F3F-CC8B-11E8-8635-005056A225F3;2 672;3 196;4 134;3 825;3 809;4 821;4 836;4 395;5 158;7 813;6 486;9 036
6A9D4435-80F5-489D-B4BB-A215337B4C15;3 594;2 941;4 565;3 841;3 480;5 359;3 943;5 884;4 790;5 330;7 439;7 661
213D9059-3BD6-4C34-8794-E798E051093A;956;1 544;3 334;2 962;3 928;4 870;5 454;5 468;6 716;6 051;6 901;7 224
96CF5EFE-25C8-11E8-9C6C-005056A225F3;1 525;1 893;2 711;2 985;3 136;3 623;4 442;5 712;6 065;5 732;8 909;8 481
90079625-11E2-4835-9786-252B1768CD6D;1 063;1 723;2 374;2 614;2 809;3 670;4 543;6 171;6 309;5 179;6 905;7 822
00000000-0000-0000-0000-050443652238;2 093;2 673;3 919;3 700;3 588;3 533;3 468;3 527;3 346;5 521;7 202;5 333
4A229924-0BFA-11E4-A274-005056020134;2 440;3 118;3 280;4 589;2 697;2 822;2 498;2 182;5 059;4 394;5 452;7 051
